Teste;Equipamento;ETM;IR
Sódio;COBAS 8000;5;136 - 145
Potássio;COBAS 8000;5,6;3,5 - 5,1
Cloreto;COBAS 8000;5;98 - 107
Glicose;COBAS 8000;6,9;70 - 99
Ureia;COBAS 8000;15,7;15 - 40
Creatinina;COBAS 8000;8,9;0,7 - 1,2
Colesterol total;COBAS 8000;9;< 190
Triglicérides;COBAS 8000;25;< 150
TSH;COBAS 8000;23,7;0,4 - 4,0
Hemoglobina;XN 9000;3,4;12 - 16
