Teste;ETM;Bias MÃ¡ximo;Material;norm;Abbreviation;LI;LS;IR
Caxumba IgG;30,00%;15,00%;Soro;caxumbaigg;CAXUMBAG;0,00;9,00;0 - 9
Caxumba IgM;33,40%;15,00%;Soro;caxumbaigm;CAXUMBAM;0,00;0,90;0 - 0,9
CCP;30,00%;15,00%;Sangue;ccp;CCP;;;
CEA;17,00%;8,50%;Sangue;cea;CEA;0,30;3,80;0,3 - 3,8
Ceruloplasmina;12,00%;6,00%;Soro;ceruloplasmina;CERULOP;20,00;60,00;20 - 60
Chagas;24,00%;12,00%;Sangue;chagas;CHASO;;;
Cistatina C;15,00%;7,50%;Soro;cistatinac;CISTATIN;0,62;1,11;0,62 - 1,11
Magnesio (Soro);25,00%;12,50%;Soro;magnesio;MAG;1,70;2,30;1 - 25
Cloro (Soro);13,00%;6,50%;Soro;cloro;CL;98,00;107,00;98 - 107
Cloro (Urina);10,00%;5,00%;Urina;cloro urinario;CLOUI;110,00;250,00;110 - 250
CMV IgG;23,00%;11,50%;Soro;cmvigg;CMVG-EQ;0,00;500,00;0 - 500
CMV IgM;15,00%;7,50%;Sangue;cmvigm;CMVM-EQ;0,00;0,70;0 - 0,7
TGP (ALT);40,00%;20,00%;Soro;tgpalt;TGP;5,00;41,00;76 - 152
Transferrina;20,00%;10,00%;Soro;transferrina;TRANS;200,00;360,00;100 - 199
Triglicerideos;16,00%;8,00%;Soro;triglicerideos;TRIG;50,00;150,00;100 - 199
Complemento C3;18,00%;9,00%;Soro;complementoc3;C3;90,00;170,00;90 - 170
Complemento C4;17,00%;8,50%;Soro;complementoc4;C4;12,00;36,00;12 - 36
Cortisol;20,00%;10,00%;Soro;cortisol;CORT8;5,27;22,45;5,27 - 22,45
Cortisol salivar;24,00%;12,00%;Saliva;cortisolsalivar;CSAL8;1,50;20,29;1,5 - 20,29
Ureia (Soro);18,00%;9,00%;Soro;ureia;URE;16,60;48,50;39 - 308
Zinco;25,00%;12,50%;Soro;zinco;ZINCO;80,00;120,00;0,67 - 1,17
Creatinina (Urina);30,00%;15,00%;Urina;creatinina urinaria;CREUI;0,70;1,20;0,7 - 1,2
dsDNA;33,00%;16,50%;Sangue;dsdna;dsDNA;;;
Elastase;18,00%;9,00%;Fezes;elastase;ELASTASE;0,00;200,00;0 - 200
Epstein-Barr IgG;24,00%;12,00%;Soro;epsteinbarrigg;EBVG-EQ;0,00;0,10;0 - 0,1
Epstein-Barr IgM;15,00%;7,50%;Sangue;epsteinbarrigm;EBVM-EQ;0,00;0,60;0 - 0,6
Estradiol;15,00%;7,50%;Soro;estradiol;ESTR;5,00;138,00;5 - 138
Estriol;23,00%;11,50%;Plasma;estriol;ESTRIOL;4,10;12,00;4,1 - 12
Fator Intrinseco;30,00%;15,00%;Sangue;fatorintrinseco;;;;
Acido urico (Soro);15,00%;7,50%;Soro;acidourico;AUR;3,40;7,00;1 - 14
Ferritina;25,00%;12,50%;Soro;ferritina;FERRI;34,00;500,00;34 - 500
Bilirrubina Total;36,00%;18,00%;Soro;bilirrubinatotal;BILT;0,30;1,20;33 - 193
Capa (IBC);30,00%;15,00%;Soro;ctlfuibc;IBC;125,00;345,00;40 - 129
Colesterol Total;13,00%;6,50%;Soro;colesteroltotal;COLT;100,00;199,00;2,5 - 4,5
Fosforo (Urina);30,00%;15,00%;Urina;fosforo urinario;PUI;40,00;150,00;40 - 150
Creatinina (Soro);20,00%;10,00%;Soro;creatinina;CRE;0,67;1,17;205 - 285
FSH;15,00%;7,50%;Soro;fsh;FSH;25,80;134,80;25,8 - 134,8
Gama;12,00%;6,00%;Soro;gama;;;;
Gastrina;15,00%;7,50%;soro;gastrina;GASTRINA;13,00;115,00;13 - 115
Fosfatase Alcalina;35,00%;17,50%;Soro;fosfatasealcalina;FAL;40,00;129,00;0 - 60
GH;16,00%;8,00%;Plasma;gh;GH;0,00;3,00;0 - 3
Gliadina IgA;30,00%;15,00%;Sangue;gliadinaiga;;;;
Gliadina IgG;30,00%;15,00%;Sangue;gliadinaigg;;;;
Glicose (Líquor);12,00%;6,00%;Líquor;glicose;GLI;70,00;99,00;70 - 99
GGT;30,00%;15,00%;Soro;ggt;GGT;0,00;60,00;70 - 99
Glicose (Urina);15,00%;3,80%;Urina;glicose;GLI;0,00;500,00;0 - 500
H. Pylori Antigeno;21,00%;10,50%;Fezes;hpyloriantigeno;HPFEZES;0,01;0,89;0,01 - 0,89
Haptoglobina;16,00%;4,00%;Soro;haptoglobina;HAPTOGLO;30,00;200,00;30 - 200
Hb C;;;Plasma;hbc;;;;
Hb S;12,50%;6,30%;Sangue total;hbs;;;;
Hb S;12,00%;6,00%;Sangue;hbs;;;;
HbA;0,70%;0,40%;Sangue total;hba;;;;
HbA 2;22,00%;5,00%;Sangue total;hba2;;;;
HbA F;15,00%;2,50%;Sangue total;hbaf;;;;
HbA1c;5,00%;2,50%;Plasma;hbgli;HBGLI;4,20;5,60;4,2 - 5,6
HBeAg;24,00%;12,00%;Sangue;hbeag;HBEAG;0,00;0,99;0 - 0,99
HBsAg;18,60%;9,30%;Sangue;hbsag;HBSAG;0,00;0,90;0 - 0,9
HDL;30,00%;15,00%;Soro;hdl;HDL;40,00;60,00;40 - 60
Hemoglobina A2;22,00%;5,00%;Plasma;hemoglobinaa2;;;;
Hemoglobina F;11,00%;2,70%;Sangue Total;hemoglobinaf;;;;
Herpes IgG;24,00%;12,00%;Soro;herpesigg;HERPIGG;0,00;0,90;0 - 0,9
Herpes IgM;42,00%;21,00%;Soro;herpesigm;HERPIGM;0,00;0,90;0 - 0,9
HIVAG;18,00%;9,00%;Soro;hivag;HIVAG;0,00;0,99;0 - 0,99
PCR Ultra;16,00%;8,00%;Soro;pcrultra;ULTRAPCR;0,15;5,00;3 - 15
HTLV I-II;15,00%;7,50%;Soro;htlviii;HTLV;;;
IgA;17,00%;8,50%;Soro;imunoglobulinaiga;IGA;40,00;350,00;40 - 350
IgE D1;35,00%;17,50%;Sangue;iged1;;;;
IgE E1;35,00%;17,50%;Sangue;igee1;;;;
IgE Total;22,00%;11,00%;Sangue;igetotal;;;;
IGF-BP3;20,00%;10,00%;Plasma;igfbp3;BP3;3,40;6,80;3,4 - 6,8
IgG;17,00%;8,50%;Soro;imunoglobulinaigg;IGG;650,00;1600,00;650 - 1600
IgG1;12,00%;6,00%;Soro;igg1;;405,00;1011,00;405 - 1011
IgG2;15,00%;7,50%;Soro;igg2;;169,00;786,00;169 - 786
IgG3;15,00%;7,50%;Soro;igg3;;11,00;85,00;11 - 85
IgG4;12,00%;6,00%;Soro;igg4;;3,00;201,00;3 - 201
IgM;17,00%;8,50%;Soro;imunoglobulinaigm;IGM;50,00;300,00;50 - 300
Insulina;15,70%;5,30%;Soro;insulina;INSBASAL;2,60;24,90;2,6 - 24,9
Jo 1;30,00%;15,00%;Sangue;jo1;;;;
Kappa;11,00%;5,50%;Soro;igcadeialevekappatotal;;;;
Kappa Livre;20,00%;10,00%;Soro;kappalivre;KAPPALL;6,70;22,40;6,7 - 22,4
LA;30,00%;15,00%;Sangue;la;;;;
Lambda;12,00%;3,70%;Soro;igcadeialevelambdatotal;;;;
Lambda Livre;20,00%;10,00%;Soro;lambdalivre;LAMBALL;8,30;27,00;8,3 - 27
Proteinas Totais (Soro);12,00%;6,00%;Soro;proteinastotais;PROT;6,40;8,30;135 - 225
TGO (AST);30,00%;15,00%;Soro;tgoast;TGO;5,00;40,00;30 - 130
LH;14,00%;7,00%;Soro;lh;LH;1,70;8,60;1,7 - 8,6
Cobre;20,00%;10,00%;Soro;cobre;COBRE;76,00;152,00;13 - 60
Amilase (Soro);30,00%;8,00%;Soro;amilase;AMI;28,00;100,00;1 - 75
Litio;25,00%;12,50%;Soro;litio;LITIO;0,50;1,20;0,5 - 1,2
Calcio (Soro);15,00%;7,50%;Soro;calcio;CA;8,20;9,60;1,7 - 2,3
Magnesio (Urina);30,00%;15,00%;Urina;magnesio urinario;MAGUI;4,10;13,80;4,1 - 13,8
Microalbuminuria;20,00%;10,00%;Urina;microalbuminuria;MICROI;0,50;2,50;0,5 - 2,5
MPO;30,00%;15,00%;Sangue;mpo;;;;
Mycoplasma IgG;36,00%;18,00%;Soro;mycoplasmaigg;MICOPLAS;0,00;10,00;0 - 10
Mycoplasma IgM;30,00%;15,00%;Soro;mycoplasmaigm;MICOPLAM;0,00;10,00;0 - 10
Osteocalcina;15,50%;8,30%;Sangue;osteocalcina;OSTEOCAL;14,00;46,00;14 - 46
Paratormonio;18,00%;9,00%;Sangue;paratormonio;PTH;15,00;65,00;15 - 65
Parvovirus IgG;33,00%;16,50%;Soro;parvovirusigg;PARVOG;0,10;1,99;0,1 - 1,99
Parvovirus IgM;40,00%;20,00%;Soro;parvovirusigm;PARVOM;0,00;0,90;0 - 0,9
CKMB;32,00%;16,00%;Soro;ckmb;CKMB;1,00;25,00;0,15 - 5
Pepitdeo C;13,00%;6,50%;Sangue;pepitdeoc;PEPC;1,10;4,40;1,1 - 4,4
Potassio (Soro);10,00%;5,00%;Soro;potassio;K;3,50;5,10;3,5 - 5,1
Potassio (Urina);10,00%;5,00%;Urina;potassio urinario;KUI;17,00;164,00;17 - 164
PR3;30,00%;15,00%;Sangue;pr3;;;;
Pre - Albumina;20,00%;3,60%;Soro;prealbumina;PREALB;20,00;40,00;20 - 40
Progesterona;14,00%;7,00%;Soro;progesterona;PROG;0,05;15,00;0,05 - 15
Prolactina;13,00%;6,50%;Soro;prolactina;PRL;2,10;17,70;2,1 - 17,7
Proteina Urinaria;25,00%;12,50%;LÃ­quor;proteina;PRO;;;
Colesterol Total;25,00%;12,50%;Soro;colesteroltotal;COLT;100,00;199,00;6,4 - 8,3
Proteinas Totais (Urina);40,00%;20,00%;Urina;proteina urinaria;PTUI;1,00;15,00;1,0 - 15,0
PSA Livre;20,00%;10,00%;Soro;psalivre;PSAL;0,01;0,72;0,01 - 0,72
PSA Total;17,00%;8,50%;Soro;psatotal;PSAT;0,00;0,06;0 - 0,06
Quantiferon;42,00%;21,00%;Sangue;quantiferon;NIL;;;
RNP;30,00%;15,00%;Sangue;rnp;;;;
RO;30,00%;15,00%;Sangue;ro;;;;
Rubeola IgG;23,00%;11,50%;SORO;rubeolaigg;RUBG-EQ;0,00;9,99;0 - 9,99
Rubeola IgM;22,20%;11,10%;SORO;rubeolaigm;RUBM-EQ;0,00;0,80;0 - 0,8
Sarampo IgG;30,00%;15,00%;Soro;sarampoigg;SARAMPOG;0,00;13,49;0 - 13,49
Sarampo IgM;30,00%;15,00%;Soro;sarampoigm;SARAMPOM;0,00;0,90;0 - 0,9
Sclero 70;30,00%;15,00%;Sangue;sclero70;;;;
SDHEA;16,00%;8,00%;Plasma;sdhea;SDHEA;34,50;568,90;34,5 - 568,9
SHBG;16,00%;8,00%;Soro;shbg;SBG;20,60;76,70;20,6 - 76,7
SM;30,00%;15,00%;Sangue;sm;;;;
Sodio (Soro);5,00%;2,50%;Soro;sodio;NA;136,00;145,00;136 - 145
Sodio (Urina);10,00%;5,00%;Urina;sodio urinario;NAUI;18,00;301,00;18 - 301
Somatomedina;16,00%;8,00%;Soro;somatomedina;IGF1SOMA;40,20;225,00;40,2 - 225
Syphilis;18,60%;9,30%;Sangue;syphilis;VDR_QT;0,00;0,99;0 - 0,99
T3 Livre;15,00%;7,50%;Soro;t3livre;T3L;2,04;4,40;2,04 - 4,4
T3 Reverso;24,00%;12,00%;Soro;t3reverso;T3R;0,31;0,95;0,31 - 0,95
T3 Total;15,00%;7,50%;Soro;t3total;T3T;80,00;200,00;80 - 200
T4 Livre;12,00%;6,00%;Soro;t4livre;FT4;0,77;1,68;0,77 - 1,68
T4 Total;15,00%;7,50%;Soro;t4total;T4T;4,50;12,10;4,5 - 12,1
TBG;19,20%;9,60%;Plasma;tbg;TBG;13,00;39,00;13 - 39
Testosterona;35,00%;17,50%;Soro;testosterona;TESTO;193,00;740,00;193 - 740
Testosterona;20,00%;10,00%;Soro;testosterona;TESTO;193,00;740,00;193 - 740
CPK;20,00%;10,00%;Soro;cpk;CPK;39,00;308,00;5 - 40
Albumina (Bioq);12,00%;6,00%;Soro;albumina;ALB;3,50;5,20;5 - 41
Tireoglobulina;20,00%;10,00%;Sangue;tireoglobulina;TIREOG;3,50;77,00;3,5 - 77
TOXO IgG;23,00%;11,50%;SORO;toxoigg;TOXOG-EQ;0,00;2,99;0 - 2,99
TOXO IgM;15,30%;7,60%;SORO;toxoigm;TOXOM-EQ;0,00;0,79;0 - 0,79
TRAB;20,00%;10,00%;Sangue;atshrii;TRAB;0,00;1,75;0 - 1,75
Lipase;25,00%;12,50%;Soro;lipase;LIPA;13,00;60,00;200 - 360
Aldolase;35,00%;17,50%;Soro;aldolase;ALDOL;0,00;7,60;50 - 150
TSH;11,00%;5,50%;Soro;tsh;TSH;0,27;4,20;0,27 - 4,2
TTG IgA;30,00%;15,00%;Sangue;ttgiga;IgA;40,00;350,00;40 - 350
TTG IgG;30,00%;15,00%;Sangue;ttgigg;IgG;650,00;1600,00;650 - 1600
